goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/ai
cpu: Apple M1 (Virtual)
BenchmarkScrubLogTail/10_entries-3         	   10000	    107717 ns/op	    9288 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-3         	   10000	    103494 ns/op	    9288 B/op	     171 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2325	    546618 ns/op	   46596 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2575	    507462 ns/op	   46631 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2497	    519700 ns/op	   46605 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2352	    513367 ns/op	   46501 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2331	    543269 ns/op	   46548 B/op	     851 allocs/op
BenchmarkScrubLogTail/50_entries-3         	    2359	    557516 ns/op	   46548 B/op	     851 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     136	   9800695 ns/op	  558949 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     128	   9692390 ns/op	  559022 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     129	   8502331 ns/op	  559009 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     144	   8309058 ns/op	  558370 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     134	   8722857 ns/op	  558688 B/op	    1909 allocs/op
BenchmarkScrubLogTail/100_entries_mixed-3  	     129	   9707899 ns/op	  558431 B/op	    1909 allocs/op
PASS
ok  	github.com/jongio/grut/internal/crashlog	76.771s
goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/git
cpu: Apple M1 (Virtual)
BenchmarkParseStatus/10_files-3         	  709249	      1831 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-3         	  673334	      2120 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-3         	  588480	      1858 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-3         	  702564	      1874 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-3         	  726418	      1721 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/10_files-3         	  610856	      1921 ns/op	    2704 B/op	      14 allocs/op
BenchmarkParseStatus/100_files-3        	   67101	     16911 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-3        	   75865	     16212 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-3        	   71526	     17156 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-3        	   80080	     16509 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-3        	   70477	     17645 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/100_files-3        	   77158	     16503 ns/op	   25248 B/op	      89 allocs/op
BenchmarkParseStatus/500_files-3        	   14896	     94992 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-3        	   15424	     75463 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-3        	   13833	     85801 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-3        	   14188	     82652 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-3        	   14808	     79967 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/500_files-3        	   15632	     77309 ns/op	  114592 B/op	     411 allocs/op
BenchmarkParseStatus/100_renamed-3      	   55378	     22420 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-3      	   53076	     21197 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-3      	   56188	     22086 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-3      	   48772	     23326 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-3      	   54723	     22492 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatus/100_renamed-3      	   50811	     22483 ns/op	   32928 B/op	     209 allocs/op
BenchmarkParseStatusBranch-3            	 1000000	      1318 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-3            	 1000000	      1299 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-3            	  993154	      1319 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-3            	  964026	      1242 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-3            	 1000000	      1218 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseStatusBranch-3            	 1000000	      1316 ns/op	     928 B/op	       2 allocs/op
BenchmarkParseDiff/10_lines-3           	 1495414	       771.1 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-3           	 1464091	       770.3 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-3           	 1487143	       791.0 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-3           	 1449820	       727.6 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-3           	 1562400	       752.4 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/10_lines-3           	 1455680	       830.3 ns/op	    1744 B/op	       9 allocs/op
BenchmarkParseDiff/100_lines-3          	  223185	      5430 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-3          	  215728	      5776 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-3          	  220970	      5524 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-3          	  219864	      5549 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-3          	  199676	      5786 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/100_lines-3          	  241693	      5365 ns/op	   11280 B/op	      46 allocs/op
BenchmarkParseDiff/1000_lines-3         	   21474	     54430 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-3         	   19404	     57900 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-3         	   21795	     58677 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-3         	   18436	     58113 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-3         	   18500	     57867 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseDiff/1000_lines-3         	   23301	     49971 ns/op	  119280 B/op	     448 allocs/op
BenchmarkParseHunkHeader/simple-3       	17349073	        69.57 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-3       	18864685	        74.07 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-3       	16549059	        71.62 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-3       	16228414	        70.87 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-3       	17276523	        69.88 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/simple-3       	17249412	        71.20 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	14727562	        78.55 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	15124620	        78.03 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	15067568	        81.11 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	14857369	        84.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	14388108	        88.91 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/with_context-3 	15647011	        82.72 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	12883398	        88.03 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	14102348	        85.96 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	12656508	        88.14 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	14102920	        86.29 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	14063728	        84.80 ns/op	      32 B/op	       1 allocs/op
BenchmarkParseHunkHeader/large_range-3  	14035983	       118.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkUndoStack/record_50-3          	   94381	     13074 ns/op	   23459 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-3          	   99849	     12310 ns/op	   23459 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-3          	   97909	     12301 ns/op	   23459 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-3          	   98905	     13695 ns/op	   23459 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-3          	   74085	     16237 ns/op	   23460 B/op	     208 allocs/op
BenchmarkUndoStack/record_50-3          	   81702	     14787 ns/op	   23459 B/op	     208 allocs/op
BenchmarkUndoStack/record_overflow-3    	   21384	     56480 ns/op	   89358 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-3    	   17342	     61335 ns/op	   89359 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-3    	   21999	     62859 ns/op	   89359 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-3    	   18969	     58594 ns/op	   89358 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-3    	   18285	     62435 ns/op	   89359 B/op	     811 allocs/op
BenchmarkUndoStack/record_overflow-3    	   21081	     54830 ns/op	   89358 B/op	     811 allocs/op
BenchmarkUndoStack/peek_undo-3          	68352049	        16.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-3          	78245347	        19.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-3          	76706317	        15.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-3          	83330202	        15.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-3          	69543712	        16.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/peek_undo-3          	65251375	        15.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkUndoStack/can_undo_redo-3      	31706781	        34.72 ns/op	       0 B/op	       0 allocs/op
